ID,Abstract,P_labels,P_Prediction,Participants,I_labels,I_Prediction,Intervention/Control,O_labels,O_Prediction,Outcomes,Notes,P BLEU Score,P ROUGE Precision Score,P ROUGE Recall Score,P ROUGE F1 Score,P Simple Unigram Overlap Percentage,I BLEU Score,I ROUGE Precision Score,I ROUGE Recall Score,I ROUGE F1 Score,I Simple Unigram Overlap Percentage,O BLEU Score,O ROUGE Precision Score,O ROUGE Recall Score,O ROUGE F1 Score,O Simple Unigram Overlap Percentage
17597498,"Improvement in sensory impairment and social interaction in young children with autism following treatment with an original Qigong massage methodology. In clinical research, sensory impairment is considered one of the core deficits in autism and is associated with impaired socialization, behavioral disturbances and bowel and sleep problems. The effectiveness of the Cignolini methodology, an original Qigong massage methodology, in treating sensory impairment in young children with autism was evaluated in a small, controlled study. Thirteen children with autism between the ages of three and six received daily treatment according to the methodology for 5 months. Compared with untreated children, treated children experienced significant improvement of their sensory impairment ( p < 0.01 ), and demonstrated increased social skills ( p < 0.04 ) and basic living skills ( p < 0.02 ) on standardized measures. In addition, all of the children with bowel and sleep abnormalities demonstrated improvement after treatment.","['young children with autism', 'sensory impairment in young children', 'Thirteen children with autism between the ages of three and six', 'children with bowel and sleep abnormalities']",Thirteen children with autism between the ages of three and six,C,"['original Qigong massage methodology .', 'Cignolini methodology , an original Qigong massage methodology']","daily treatment according to the Cignolini methodology, an original Qigong massage methodology, for 5 months",P,"['sensory impairment', 'social skills', 'basic living skills']","significant improvement of their sensory impairment (p < 0.01), increased social skills (p < 0.04), basic living skills (p < 0.02), and improvement in bowel and sleep abnormalities",C,,1.1167470964180197,1.0,0.4230769230769231,0.5945945945945945,50.0,0.5113984034207734,0.4666666666666667,0.6363636363636364,0.5384615384615385,100.0,0.1190712704913024,0.25,1.0,0.4,100.0
23592849,"The role of treatment fidelity on outcomes during a randomized field trial of an autism intervention. This randomized field trial comparing Strategies for Teaching based on Autism Research and Structured Teaching enrolled educators in 33 kindergarten-through-second-grade autism support classrooms and 119 students, aged 5-8 years in the School District of Philadelphia. Students were assessed at the beginning and end of the academic year using the Differential Ability Scales. Program fidelity was measured through video coding and use of a checklist. Outcomes were assessed using linear regression with random effects for classroom and student. Average fidelity was 57 % in Strategies for Teaching based on Autism Research classrooms and 48 % in Structured Teaching classrooms. There was a 9.2-point ( standard deviation = 9.6 ) increase in Differential Ability Scales score over the 8-month study period, but no main effect of program. There was a significant interaction between fidelity and group. In classrooms with either low or high program fidelity, students in Strategies for Teaching based on Autism Research experienced a greater gain in Differential Ability Scales score than students in Structured Teaching ( 11.2 vs. 5.5 points and 11.3 vs. 8.9 points, respectively ). In classrooms with moderate fidelity, students in Structured Teaching experienced a greater gain than students in Strategies for Teaching based on Autism Research ( 10.1 vs. 4.4 points ). The results suggest significant variability in implementation of evidence-based practices, even with supports, and also suggest the need to address challenging issues related to implementation measurement in community settings.","['autism', '33 kindergarten-through-second-grade autism support classrooms and 119 students , aged 5-8 years in the School District of Philadelphia . Students', 'student .', 'students in Strategies for Teaching based on Autism Research', 'students in Structured Teaching', 'students in Structured Teaching', 'students in Strategies for Teaching based on Autism Research']","119 students, aged 5-8 years in the School District of Philadelphia enrolled in 33 kindergarten-through-second-grade autism support classrooms",C,"['treatment fidelity', 'Teaching', 'Program fidelity', 'video coding']",Strategies for Teaching based on Autism Research and Structured Teaching,C,"['Program fidelity', 'Average fidelity', 'Differential Ability Scales score', 'interaction between fidelity and group .', 'Differential Ability Scales score', 'fidelity , students in Structured Teaching experienced', 'Strategies for Teaching based on Autism Research']","Average fidelity was 57% in Strategies for Teaching based on Autism Research classrooms and 48% in Structured Teaching classrooms. There was a 9.2-point increase in Differential Ability Scales score over the 8-month study period, but no main effect of program. There was a significant interaction between fidelity and group. In classrooms with either low or high program fidelity, students in Strategies for Teaching based on Autism Research experienced a greater gain in Differential Ability Scales score than students in Structured Teaching (11.2 vs. 5.5 points and 11.3 vs. 8.9 points, respectively). In classrooms with moderate fidelity, students in Structured Teaching experienced a greater gain than students in Strategies for Teaching based on Autism Research (10.1 vs. 4.4 points).",C,,0.8432589872726797,0.6363636363636364,0.28,0.3888888888888889,72.72727272727273,0.0769800358919501,0.1,0.1428571428571428,0.1176470588235294,16.666666666666664,0.2156568331066136,0.2204724409448819,0.9333333333333332,0.3566878980891719,100.0
7429786,Liquid antacids: palatability and predictability study.,['antacids :'],FALSE,C,['Liquid antacids :'],Liquid antacids,C,,palatability and predictability,C,"Not labelled in ebmnlp, GPT assigned a correct label but we had to manually search for the abstract to verify ",0.0,0.0,0.0,0.0,0.0,0.23680351801537,1.0,1.0,1.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0
24576886,"Collagen cross-linking with photoactivated riboflavin ( PACK-CXL ) for the treatment of advanced infectious keratitis with corneal melting. PURPOSE To investigate the efficacy and safety of corneal collagen cross-linking ( CXL ) with photoactivated riboflavin ( photoactivated chromophore for infectious keratitis [ PACK ] -CXL ) in the management of infectious keratitis with corneal melting. DESIGN Prospective clinical trial. PARTICIPANTS Forty eyes from 40 patients with advanced infectious keratitis and coexisting corneal melting. METHODS Twenty-one patients ( 21 eyes ) underwent PACK-CXL treatment in addition to antimicrobial therapy. The control group consisted of 19 patients ( 19 eyes ) who received only antimicrobial therapy. MAIN OUTCOME MEASURES The slit-lamp characteristics of the corneal ulceration, corrected distance visual acuity, duration until healing, and complications were documented in each group. The Mann-Whitney U test was used for statistical analysis. P values less than 0.05 were considered statistically significant. RESULTS The average time until healing was 39.76 Â± 18.22 days in the PACK-CXL group and 46.05 Â± 27.44 days in the control group ( P = 0.68 ). After treatment and healing, corrected distance visual acuity was 1.64 Â± 0.62 in the PACK-CXL group and 1.67 Â± 0.48 in the control group ( P = 0.68 ). The corneal ulceration 's width and length was significantly bigger in the PACK-CXL group ( P = 0.004 and P = 0.007 ). Three patients in the control group demonstrated corneal perforation ; infection recurred in 1 of them. No serious complications occurred in the PACK-CXL group. CONCLUSIONS Corneal CXL with photoactivated riboflavin did not shorten the time to corneal healing ; however, the complication rate was 21 % in the control group, whereas there was no incidence of corneal perforation or recurrence of the infection in the PACK-CXL group. These results indicate that PACK-CXL may be an effective adjuvant therapy in the management of severe infectious keratitis associated with corneal melting.","['advanced infectious keratitis with corneal melting .', 'Forty eyes from 40 patients with advanced infectious keratitis and coexisting corneal melting .', 'Twenty-one patients ( 21 eyes ) underwent PACK-CXL treatment in addition to antimicrobial therapy . The control group consisted of 19 patients ( 19 eyes )']",Forty eyes from 40 patients with advanced infectious keratitis and coexisting corneal melting,C,"['Collagen cross-linking with photoactivated riboflavin ( PACK-CXL )', 'corneal collagen cross-linking ( CXL )', 'photoactivated riboflavin ( photoactivated chromophore for infectious keratitis [ PACK ] -CXL )', 'PACK-CXL treatment in addition to antimicrobial therapy .', 'only antimicrobial therapy .', 'the PACK-CXL', 'the PACK-CXL', 'the PACK-CXL', 'the PACK-CXL', 'CONCLUSIONS Corneal CXL with photoactivated riboflavin', 'that PACK-CXL']",Twenty-one patients (21 eyes) underwent PACK-CXL treatment in addition to antimicrobial therapy. The control group consisted of 19 patients (19 eyes) who received only antimicrobial therapy.,C,"['efficacy and safety', 'slit-lamp characteristics of the corneal ulceration , corrected distance visual acuity , duration until healing , and complications', 'time until healing', 'healing , corrected distance visual acuity', ""The corneal ulceration 's width and length"", 'demonstrated corneal perforation ;', 'the time to corneal healing ;', 'perforation or recurrence of the infection']","The average time until healing was 39.76 Â± 18.22 days in the PACK-CXL group and 46.05 Â± 27.44 days in the control group (P = 0.68). After treatment and healing, corrected distance visual acuity was 1.64 Â± 0.62 in the PACK-CXL group and 1.67 Â± 0.48 in the control group (P = 0.68). The corneal ulceration's width and length was significantly bigger in the PACK-CXL group (P = 0.004 and P = 0.007). Three patients in the control group demonstrated corneal perforation; infection recurred in 1 of them. No serious complications occurred in the PACK-CXL group.",C,,1.034064345969904,1.0,0.30952380952380953,0.4727272727272727,38.46153846153847,0.3439442023309528,0.3928571428571428,0.2037037037037037,0.2682926829268292,38.095238095238095,0.2050699990453365,0.2,0.4375,0.2745098039215686,69.56521739130434
12358871,"Multifaceted support to improve clinical decision making in diabetes care: a randomized controlled trial in general practice. AIMS To evaluate the effectiveness of a multifaceted intervention to improve the clinical decision making of general practitioners ( GPs ) for patients with diabetes. To identify practice characteristics which predict success. METHODS Cluster randomized controlled trial with 124 practices and 185 GPs in The Netherlands. The intervention group received feedback reports and support from a facilitator ; the control group received no special attention. Outcome measures were the compliance rates with evidence-based recommendations pertaining to discussion of body weight control, discussion of problems with medication, blood pressure measurement, foot examination, eye examination, initiating anti-diabetic medication or increasing the dosage in cases of uncontrolled blood glucose, and scheduling a follow-up appointment. RESULTS The GPs reported on their clinical decision making in 1410 consultations with Type 2 diabetic patients at baseline and 1449 consultations after the intervention period. The intervention resulted in statistically significant improvement for two of the seven outcome measures: foot examination ( odds ratio 1.68 ; 95 % confidence interval 1.19-2.39 ) and eye examination ( 1.52 ; 1.07-2.16 ). Discussion of problems with medication showed a near significant trend towards increased benefit for the intervention group ( 1.52 ; 0.99-2.32 ). Practice characteristics were not found to be related to the success of the intervention. CONCLUSIONS Feedback reports with support from facilitators appear to increase rates of foot examination and eye examination in general practice. Alternative interventions should be explored to improve the pursuit of metabolic control by GPs.","['general practitioners ( GPs ) for patients with diabetes .', 'Cluster randomized controlled trial with 124 practices and 185 GPs in The Netherlands .', '1410 consultations with Type 2 diabetic patients at baseline and 1449 consultations']",Type 2 diabetic patients in 124 practices and 185 GPs in The Netherlands,C,"['Multifaceted support', 'multifaceted intervention', 'The intervention group received feedback reports and support from a facilitator ; the control group received no special attention . Outcome measures were the compliance rates with evidence-based recommendations pertaining to discussion of body weight control , discussion of problems with medication , blood pressure measurement , foot examination , eye examination , initiating anti-diabetic medication or increasing the dosage in cases of uncontrolled blood glucose , and scheduling a follow-up appointment .']",The intervention group received feedback reports and support from a facilitator; the control group received no special attention,C,"['compliance rates with evidence-based recommendations pertaining to discussion of body weight control , discussion of problems with medication , blood pressure measurement , foot examination , eye examination , initiating anti-diabetic medication or increasing the dosage in cases of uncontrolled blood glucose , and scheduling a follow-up appointment .', 'foot examination', 'examination', 'Discussion of problems with medication', 'Practice characteristics', 'foot examination and eye examination']","compliance rates with evidence-based recommendations pertaining to discussion of body weight control, discussion of problems with medication, blood pressure measurement, foot examination, eye examination, initiating anti-diabetic medication or increasing the dosage in cases of uncontrolled blood glucose, and scheduling a follow-up appointment",C,,0.8463946954597866,0.6923076923076923,0.28125,0.4,40.909090909090914,1.1167470964180195,1.0,0.2535211267605634,0.4044943820224718,26.1904761904762,1.093722207285209,1.0,0.75,0.8571428571428571,93.5483870967742
23975885,"Increase in 2-long terminal repeat circles and decrease in D-dimer after raltegravir intensification in patients with treated HIV infection: a randomized, placebo-controlled trial. BACKGROUND The degree to which human immunodeficiency virus ( HIV ) continues to replicate during antiretroviral therapy ( ART ) is controversial. We conducted a randomized, double-blind, placebo-controlled study to assess whether raltegravir intensification reduces low-level viral replication, as defined by an increase in the level of 2-long terminal repeat ( 2-LTR ) circles. METHODS Thirty-one subjects with an ART-suppressed plasma HIV RNA level of < 40 copies/mL and a CD4 ( + ) T-cell count of â‰¥350 cells/mm ( 3 ) for â‰¥1 year were randomly assigned to receive raltegravir 400 mg twice daily or placebo for 24 weeks. 2-LTR circles were analyzed by droplet digital polymerase chain reaction at weeks 0, 1, 2, and 8. RESULTS The median duration of ART suppression was 3.8 years. The raltegravir group had a significant increase in the level of 2-LTR circles, compared to the placebo group. The week 1 to 0 ratio was 8.8-fold higher ( P =.0025 ) and the week 2 to 0 ratio was 5.7-fold higher ( P =.023 ) in the raltegravir vs. placebo group. Intensification also led to a statistically significant decrease in the D-dimer level, compared to placebo ( P =.045 ). CONCLUSIONS Raltegravir intensification resulted in a rapid increase in the level of 2-LTR circles in a proportion of subjects, indicating that low-level viral replication persists in some individuals even after long-term ART. Intensification also reduced the D-dimer level, a coagulation biomarker that is predictive of morbidity and mortality among patients receiving treatment for HIV infection.","['patients with treated HIV infection :', 'Thirty-one subjects with an ART-suppressed plasma HIV RNA level of < 40 copies/mL and a CD4 ( + ) T-cell count of Ã¢â€°Â¥350 cells/mm ( 3 ) for Ã¢â€°Â¥1 year', 'among patients receiving treatment for HIV infection']",Thirty-one subjects with an ART-suppressed plasma HIV RNA level of < 40 copies/mL and a CD4 ( + ) T-cell count of â‰¥350 cells/mm ( 3 ) for â‰¥1 year,C,"['receive raltegravir 400', 'daily or placebo', 'CONCLUSIONS Raltegravir']",raltegravir 400 mg twice daily or placebo for 24 weeks,C,"['low-level viral replication', '2-long terminal repeat', 'The median duration of ART suppression', 'the level of 2-LTR circles', 'group . Intensification', 'the D-dimer level', 'level of 2-LTR circles', 'the D-dimer level']","The raltegravir group had a significant increase in the level of 2-LTR circles, compared to the placebo group. The week 1 to 0 ratio was 8.8-fold higher ( P =.0025 ) and the week 2 to 0 ratio was 5.7-fold higher ( P =.023 ) in the raltegravir vs. placebo group. Intensification also led to a statistically significant decrease in the D-dimer level, compared to placebo ( P =.045 )",P,,0.9518591548078207,1.0,0.7073170731707317,0.8285714285714285,68.57142857142857,0.2418851042609841,0.5,0.625,0.5555555555555556,66.66666666666666,0.1490546235071216,0.2,0.4,0.2666666666666666,41.17647058823529
16855475,Divalproex versus placebo for the prevention of irritability associated with fluoxetine treatment in autism spectrum disorder.,['autism spectrum disorder .'],individuals with autism spectrum disorder,C,"['Divalproex versus placebo', 'fluoxetine']",Divalproex versus placebo,C,['irritability'],prevention of irritability associated with fluoxetine treatment,P,O_Prediction contains outcome but describes means of the study,0.3555867471973433,0.6,1.0,0.7499999999999999,100.0,0.703215867220802,1.0,0.75,0.8571428571428571,75.0,0.0824786098842322,0.1428571428571428,1.0,0.25,100.0
9669262,"Effect of pravastatin on cardiovascular events in women after myocardial infarction: the cholesterol and recurrent events ( CARE ) trial. OBJECTIVES We sought to determine the effect of pravastatin on recurrent cardiovascular events in women with average cholesterol levels after myocardial infarction ( MI ). BACKGROUND Little information is available on the effectiveness of lipid lowering in secondary prevention of coronary heart disease ( CHD ) in women ; in particular, those with CHD and average cholesterol levels. METHODS In the Cholesterol and Recurrent Events ( CARE ) trial, 576 postmenopausal women, between 3 and 20 months after MI, with a total cholesterol level < 240 mg/dl and a low density lipoprotein cholesterol level 115 to 174 mg/dl, were randomized to receive pravastatin 40 mg/day or matching placebo for a median follow-up period of 5 years. The main outcome measures were combined coronary events ( coronary death, nonfatal MI, percutaneous transluminal coronary angioplasty [ PTCA ] or coronary artery bypass graft surgery [ CABG ] ), the primary trial end point ( coronary death or nonfatal MI ) and stroke. RESULTS Women treated with pravastatin had a risk reduction of 43 % for the primary end point ( p = 0.035 ), 46 % for combined coronary events ( p = 0.001 ), 48 % for PTCA ( p = 0.025 ), 40 % for CABG ( p = 0.14 ) and 56 % for stroke ( p = 0.07 ). The 3,583 men in the CARE trial also showed a reduction in risk, but the magnitude tended to be less. Pravastatin improved plasma lipids similarly in men and women. There were no differences in risk of coronary events in the placebo group between men and women. Minor differences between men and women were present in baseline characteristics and treatment for MI, in general, conferring a higher risk status and a lower incidence of CABG in the women. CONCLUSIONS Pravastatin led to significant early reduction of a wide range of cardiovascular events in post-MI women with average cholesterol levels.","['women after myocardial infarction :', 'women with average cholesterol levels after myocardial infarction ( MI ) .', 'coronary heart disease ( CHD ) in women ; in particular , those with CHD and average cholesterol levels .', '576 postmenopausal women , between 3 and 20 months after MI , with a total cholesterol level < 240 mg/dl and a low density lipoprotein cholesterol level 115 to 174 mg/dl', 'The 3,583 men in the CARE trial', 'men and women .', 'post-MI women with average cholesterol levels .']","576 postmenopausal women, between 3 and 20 months after MI, with a total cholesterol level < 240 mg/dl and a low density lipoprotein cholesterol level 115 to 174 mg/dl",C,"['pravastatin', 'pravastatin', 'pravastatin 40 mg/day', 'placebo', 'Pravastatin', 'Pravastatin']",pravastatin 40 mg/day or matching placebo for a median follow-up period of 5 years,C,"['cardiovascular events', 'recurrent cardiovascular events', 'combined coronary events ( coronary death , nonfatal MI , percutaneous transluminal coronary angioplasty [ PTCA ] or coronary artery bypass graft surgery [ CABG ] ) , the primary trial end point ( coronary death or nonfatal MI ) and stroke .', 'risk reduction', 'risk', 'plasma lipids', 'risk of coronary events', 'CABG', 'cardiovascular events']","risk reduction of 43% for the primary end point (coronary death or nonfatal MI), 46% for combined coronary events, 48% for PTCA, 40% for CABG, and 56% for stroke",P,O_prediction contains results instead pure outcomes and acronyms and combinations instead of single outcomes,1.1167470964180197,1.0,0.39473684210526316,0.5660377358490566,52.63157894736842,0.1639816643647368,0.3125,0.5555555555555556,0.3999999999999999,100.0,0.3532661822051476,0.4137931034482758,0.25,0.3116883116883117,53.333333333333336
25260191,"Randomized controlled trial of parental responsiveness intervention for toddlers at high risk for autism. This study tested the effects of a parent-mediated intervention on parental responsiveness with their toddlers at high risk for an autism spectrum disorder ( ASD ). Participants included caregivers and their 66 toddlers at high risk for ASD. Caregivers were randomized to 12 sessions of an individualized parent education intervention aimed at improving parental responsiveness or to a monitoring control group involving 4 sessions of behavioral support. Parental responsiveness and child outcomes were measured at three time points: at beginning and end of the 3-month treatment and at 12-months post-study entry. Parental responsiveness improved significantly in the treatment group but not the control group. However, parental responsiveness was not fully maintained at follow up. There were no treatment effects on child outcomes of joint attention or language. Children in both groups made significant developmental gains in cognition and language skills over one year. These results support parental responsiveness as an important intervention target given its general association with child outcomes in the extant literature ; however, additional supports are likely needed to fully maintain the treatment effect and to affect child outcomes.","['toddlers at high risk for autism .', 'parent-mediated', 'toddlers at high risk for an autism spectrum disorder ( ASD ) . Participants included caregivers and their 66 toddlers at high risk for ASD . Caregivers']",caregivers and their 66 toddlers at high risk for ASD,C,"['parental responsiveness intervention', 'parent-mediated intervention on parental responsiveness', 'individualized parent education intervention', 'Parental responsiveness', 'Parental responsiveness', 'parental responsiveness']",caregivers were randomized to 12 sessions of an individualized parent education intervention aimed at improving parental responsiveness or to a monitoring control group involving 4 sessions of behavioral support,C,"['Parental responsiveness and child outcomes', 'Parental responsiveness', 'parental responsiveness', 'child outcomes', 'joint attention or language .', 'cognition and language skills']",parental responsiveness improved significantly in the treatment group but not the control group; parental responsiveness was not fully maintained at follow up; there were no treatment effects on child outcomes of joint attention or language; children in both groups made significant developmental gains in cognition and language skills over one year,C,O_prediction contains outcomes AND results,1.1167470964180197,1.0,0.3225806451612903,0.4878048780487805,40.0,0.1680776044403956,0.2068965517241379,0.3157894736842105,0.25,85.71428571428571,0.1705097272538945,0.2745098039215686,0.7368421052631579,0.4,100.0
2374275,"Nicotinic acid as therapy for dyslipidemia in non-insulin-dependent diabetes mellitus. Recently, nicotinic acid has been recommended as a first-line hypolipidemic drug. To determine the effectiveness of nicotinic acid in dyslipidemic patients with non-insulin-dependent diabetes mellitus, 13 patients were treated in a randomized crossover trial. Patients received either nicotinic acid ( 1.5 g three times daily ) or no therapy ( control period ) for 8 weeks each. Compared with the control period, nicotinic acid therapy reduced the plasma total cholesterol level by 24 %, plasma triglyceride level by 45 %, very-low-density lipoprotein cholesterol level by 58 %, and low-density lipoprotein cholesterol level by 15 %, and it increased the high-density lipoprotein cholesterol level by 34 %. However, nicotinic acid therapy resulted in the deterioration of glycemic control, as evidenced by a 16 % increase in mean plasma glucose concentrations, a 21 % increase in glycosylated hemoglobin levels, and the induction of marked glycosuria in some patients. Furthermore, a consistent increase in plasma uric acid levels was observed. Therefore, despite improvement in lipid and lipoprotein concentrations, because of worsening hyperglycemia and the development of hyperuricemia, nicotinic acid must be used with caution in patients with non-insulin-dependent diabetes mellitus with dyslipidemia. We suggest that the drug not be used as a first-line hypolipidemic drug in patients with non-insulin-dependent diabetes mellitus.","['non-insulin-dependent diabetes mellitus .', 'dyslipidemic patients with non-insulin-dependent diabetes mellitus , 13 patients were treated in a randomized crossover trial .', 'patients', 'patients with non-insulin-dependent diabetes mellitus .']",13 dyslipidemic patients with non-insulin-dependent diabetes mellitus,C,"['Nicotinic acid', 'nicotinic acid', 'nicotinic acid', 'no therapy', 'nicotinic acid', 'nicotinic acid']",nicotinic acid (1.5 g three times daily) or no therapy (control period) for 8 weeks each,C,"['plasma total cholesterol level', 'plasma triglyceride level', 'very-low-density lipoprotein cholesterol level', 'low-density lipoprotein cholesterol level', 'high-density lipoprotein cholesterol level', 'deterioration of glycemic control', 'mean plasma glucose concentrations', 'glycosylated hemoglobin levels', 'marked glycosuria', 'plasma uric acid levels', 'lipid and lipoprotein concentrations', 'hyperglycemia', 'hyperuricemia']","nicotinic acid therapy reduced the plasma total cholesterol level by 24%, plasma triglyceride level by 45%, very-low-density lipoprotein cholesterol level by 58%, and low-density lipoprotein cholesterol level by 15%, and it increased the high-density lipoprotein cholesterol level by 34%; deterioration of glycemic control with a 16% increase in mean plasma glucose concentrations, a 21% increase in glycosylated hemoglobin levels, and the induction of marked glycosuria in some patients; consistent increase in plasma uric acid levels",C,O_prediction contains outcomes AND results,0.9408631769002584,0.8888888888888888,0.26666666666666666,0.41025641025641024,66.66666666666666,0.111388881905377,0.2352941176470588,0.3333333333333333,0.2758620689655172,100.0,0.2395811793878958,0.5063291139240507,0.8695652173913043,0.6400000000000001,88.0
